lower bound for relaxed s_ij: 1006898.48

#####################################################

solved with: SP.constructive_heuristics.GeneralHeuristic
time limit: 3600.0 s
time to solve: 0,00 s
objective value: 1208877.74

stacks (top to bottom):
stack 0:    907 856 368 235 
stack 83:    105 8 574 870 
stack 84:    499 520 584 394 
stack 85:    503 29 120 727 
stack 86:    112 475 280 445 
stack 87:    854 995 697 423 
stack 88:    623 331 714 575 
stack 89:    673 210 950 418 
stack 90:    879 144 632 941 
stack 91:    677 349 300 118 
stack 92:    828 726 522 47 
stack 93:    265 968 858 735 
stack 94:    810 683 674 710 
stack 95:    424 53 384 537 
stack 96:    560 905 168 389 
stack 97:    495 821 605 292 
stack 98:    176 638 193 102 
stack 99:    837 140 447 458 
stack 100:    816 796 565 303 
stack 101:    930 84 906 701 
stack 102:    836 322 478 399 
stack 103:    184 732 759 824 
stack 104:    190 136 776 524 
stack 105:    264 875 922 819 
stack 106:    687 948 172 50 
stack 107:    414 317 281 695 
stack 108:    629 969 801 298 
stack 109:    435 189 612 19 
stack 110:    731 829 978 975 
stack 111:    391 555 297 380 
stack 112:    234 439 488 857 
stack 113:    116 890 121 158 
stack 114:    958 519 916 22 
stack 115:    855 62 564 333 
stack 116:    762 841 314 909 
stack 117:    83 786 868 18 
stack 118:    150 114 840 573 
stack 119:    381 637 359 963 
stack 120:    207 202 395 301 
stack 121:    533 259 740 800 
stack 122:    880 279 284 255 
stack 123:    182 876 814 748 
stack 124:    430 929 110 956 
stack 125:    364 739 196 838 
stack 126:    480 338 320 825 
stack 127:    980 101 576 581 
stack 128:    962 147 767 873 
stack 129:    330 468 571 469 
stack 130:    142 959 709 892 
stack 131:    444 887 737 214 
stack 132:    55 35 983 672 
stack 133:    610 38 538 186 
stack 134:    58 914 32 641 
stack 135:    567 11 37 7 
stack 136:    871 991 206 487 
stack 137:    422 631 725 148 
stack 138:    994 174 26 678 
stack 139:    586 470 135 705 
stack 140:    321 911 676 592 
stack 141:    221 310 976 990 
stack 142:    593 999 569 702 
stack 143:    111 713 523 249 
stack 144:    437 563 891 675 
stack 145:    42 977 441 681 
stack 146:    13 722 429 634 
stack 147:    859 751 291 509 
stack 148:    547 853 397 269 
stack 149:    9 484 987 350 
stack 150:    426 211 728 30 
stack 151:    782 81 761 339 
stack 152:    970 652 799 979 
stack 153:    517 243 278 295 
stack 154:    951 693 993 966 
stack 155:    23 282 648 69 
stack 156:    434 443 788 787 
stack 157:    354 79 231 812 
stack 158:    932 474 747 849 
stack 159:    390 405 213 903 
stack 160:    516 585 765 21 
stack 161:    209 803 175 920 
stack 162:    362 393 347 482 
stack 163:    616 625 729 513 
stack 164:    225 188 230 413 
stack 165:    752 996 645 770 
stack 166:    428 919 337 244 
stack 167:    199 20 809 71 
stack 168:    680 588 931 861 
stack 169:    227 146 587 904 
stack 170:    918 304 608 448 
stack 171:    724 647 39 997 
stack 172:    603 127 508 794 
stack 173:    440 599 657 897 
stack 174:    357 94 535 453 
stack 175:    28 126 806 90 
stack 176:    370 326 131 988 
stack 177:    152 636 219 87 
stack 178:    166 356 162 253 
stack 179:    365 802 779 494 
stack 180:    169 669 639 242 
stack 181:    241 885 884 992 
stack 182:    529 273 628 881 
stack 183:    528 143 898 558 
stack 184:    107 416 14 797 
stack 185:    530 15 690 296 
stack 186:    387 205 122 981 
stack 187:    63 466 457 839 
stack 188:    100 402 515 549 
stack 189:    568 327 572 943 
stack 190:    328 204 247 137 
stack 191:    48 308 886 245 
stack 192:    194 6 180 590 
stack 193:    268 518 686 844 
stack 194:    119 579 738 591 
stack 195:    510 229 900 386 
stack 196:    934 0 272 379 
stack 197:    671 345 618 927 
stack 198:    198 156 220 984 
stack 199:    860 123 316 715 
stack 200:    375 882 240 961 
stack 201:    396 771 699 115 
stack 202:    36 497 260 504 
stack 203:    262 133 332 411 
stack 204:    888 159 754 490 
stack 205:    760 679 160 218 
stack 206:    342 309 633 76 
stack 207:    716 721 462 318 
stack 208:    615 155 139 191 
stack 209:    500 153 653 288 
stack 210:    459 998 85 64 
stack 211:    583 659 598 248 
stack 212:    44 217 939 534 
stack 213:    250 689 756 348 
stack 214:    967 654 403 74 
stack 215:    442 694 622 553 
stack 216:    145 805 866 27 
stack 217:    31 187 955 862 
stack 218:    371 68 108 502 
stack 219:    400 656 577 655 
stack 220:    607 236 73 662 
stack 221:    192 874 507 353 
stack 222:    790 985 93 711 
stack 223:    486 239 456 343 
stack 224:    161 289 913 98 
stack 225:    923 550 933 344 
stack 226:    719 766 293 778 
stack 227:    624 661 421 299 
stack 228:    5 325 106 684 
stack 229:    17 901 781 877 
stack 230:    128 562 899 238 
stack 231:    643 183 640 373 
stack 232:    251 703 514 24 
stack 233:    506 254 580 541 
stack 234:    692 864 382 823 
stack 235:    845 789 772 566 
stack 236:    894 947 668 367 
stack 237:    427 496 125 917 
stack 238:    151 915 361 944 
stack 239:    277 398 271 818 
stack 240:    924 843 707 663 
stack 241:    972 130 691 777 
stack 242:    611 942 815 43 
stack 243:    132 912 96 785 
stack 244:    521 2 16 129 
stack 245:    626 452 910 406 
stack 246:    313 872 266 949 
stack 247:    410 232 455 630 
stack 248:    795 438 12 
stack 249:    831 197 
stack 250:    302 835 
stack 251:    78 
stack 252:    
stack 253:    
stack 254:    
stack 255:    
stack 256:    
stack 257:    
stack 258:    
stack 259:    
stack 260:    
stack 261:    
stack 262:    
stack 263:    
stack 264:    
stack 265:    
stack 266:    
stack 267:    
stack 268:    
stack 269:    
stack 270:    
stack 271:    
stack 272:    
stack 273:    
stack 274:    
stack 275:    
stack 276:    
stack 277:    
stack 278:    
stack 279:    
stack 280:    
stack 281:    
stack 282:    
stack 283:    
stack 284:    
stack 285:    
stack 286:    
stack 287:    
stack 288:    
stack 289:    
stack 290:    
stack 291:    
stack 292:    
stack 293:    
stack 294:    
stack 295:    
stack 296:    
stack 297:    
stack 298:    
stack 299:    
