lower bound for relaxed s_ij: 1006874.24

#####################################################

solved with: SP.constructive_heuristics.GeneralHeuristic
time limit: 3600.0 s
time to solve: 0,00 s
objective value: 1210550.27

stacks (top to bottom):
stack 0:    634 735 186 82 
stack 98:    83 271 156 199 
stack 99:    739 542 912 157 
stack 100:    318 528 590 365 
stack 101:    247 935 372 848 
stack 102:    47 571 120 696 
stack 103:    778 305 239 92 
stack 104:    60 631 688 391 
stack 105:    137 440 819 637 
stack 106:    982 115 415 95 
stack 107:    204 232 864 825 
stack 108:    669 589 275 432 
stack 109:    572 435 600 341 
stack 110:    869 822 581 477 
stack 111:    812 315 946 298 
stack 112:    932 235 404 750 
stack 113:    553 129 211 772 
stack 114:    730 193 648 837 
stack 115:    755 272 28 872 
stack 116:    619 170 405 783 
stack 117:    767 989 87 563 
stack 118:    400 905 801 152 
stack 119:    650 800 776 675 
stack 120:    505 983 781 369 
stack 121:    125 196 941 158 
stack 122:    714 470 474 904 
stack 123:    545 876 116 54 
stack 124:    494 94 653 0 
stack 125:    922 127 314 615 
stack 126:    323 457 109 373 
stack 127:    988 431 103 587 
stack 128:    347 961 844 799 
stack 129:    464 885 815 709 
stack 130:    136 924 84 455 
stack 131:    319 301 27 635 
stack 132:    250 375 859 339 
stack 133:    968 517 896 966 
stack 134:    177 167 797 179 
stack 135:    742 849 126 413 
stack 136:    577 835 806 130 
stack 137:    282 969 564 661 
stack 138:    472 786 638 614 
stack 139:    828 652 703 175 
stack 140:    102 446 793 171 
stack 141:    539 947 665 251 
stack 142:    385 379 795 664 
stack 143:    626 987 104 165 
stack 144:    502 65 439 451 
stack 145:    565 534 31 711 
stack 146:    766 465 114 78 
stack 147:    198 259 642 856 
stack 148:    591 351 789 39 
stack 149:    523 9 911 833 
stack 150:    583 712 75 749 
stack 151:    670 254 174 86 
stack 152:    497 660 81 325 
stack 153:    810 388 743 122 
stack 154:    475 965 371 424 
stack 155:    352 984 17 744 
stack 156:    88 831 780 927 
stack 157:    538 192 69 654 
stack 158:    501 731 292 716 
stack 159:    183 492 729 97 
stack 160:    721 447 689 607 
stack 161:    920 12 854 255 
stack 162:    997 243 745 397 
stack 163:    26 295 357 150 
stack 164:    937 450 216 311 
stack 165:    871 93 208 434 
stack 166:    287 690 228 178 
stack 167:    245 236 508 945 
stack 168:    41 48 410 575 
stack 169:    756 380 288 354 
stack 170:    327 994 917 659 
stack 171:    598 926 217 791 
stack 172:    6 425 263 510 
stack 173:    934 710 443 499 
stack 174:    454 40 618 280 
stack 175:    708 202 326 939 
stack 176:    253 105 364 514 
stack 177:    406 25 286 321 
stack 178:    890 353 368 834 
stack 179:    677 556 757 959 
stack 180:    647 176 511 495 
stack 181:    512 858 764 857 
stack 182:    536 3 362 124 
stack 183:    700 144 974 107 
stack 184:    59 55 779 847 
stack 185:    423 877 101 883 
stack 186:    608 206 337 796 
stack 187:    390 89 498 530 
stack 188:    412 820 349 297 
stack 189:    16 471 266 909 
stack 190:    242 576 238 268 
stack 191:    843 566 540 656 
stack 192:    827 418 229 913 
stack 193:    378 582 343 381 
stack 194:    303 884 146 586 
stack 195:    14 307 223 449 
stack 196:    221 442 826 867 
stack 197:    429 580 774 567 
stack 198:    389 302 383 181 
stack 199:    658 133 952 131 
stack 200:    71 753 957 482 
stack 201:    541 461 928 350 
stack 202:    971 978 80 611 
stack 203:    578 870 296 562 
stack 204:    306 916 437 338 
stack 205:    723 602 770 128 
stack 206:    159 188 207 813 
stack 207:    840 422 123 316 
stack 208:    112 620 881 320 
stack 209:    329 816 355 18 
stack 210:    11 161 784 187 
stack 211:    507 408 522 747 
stack 212:    951 733 483 861 
stack 213:    552 715 396 246 
stack 214:    963 377 641 195 
stack 215:    53 304 61 860 
stack 216:    613 588 111 967 
stack 217:    838 938 135 818 
stack 218:    992 428 20 76 
stack 219:    802 458 599 503 
stack 220:    975 940 155 121 
stack 221:    560 231 761 702 
stack 222:    225 610 38 342 
stack 223:    762 727 886 203 
stack 224:    147 419 261 970 
stack 225:    878 533 558 15 
stack 226:    736 906 469 33 
stack 227:    491 438 777 448 
stack 228:    554 962 775 649 
stack 229:    376 875 986 521 
stack 230:    695 276 258 832 
stack 231:    13 233 138 37 
stack 232:    995 846 568 480 
stack 233:    737 902 546 544 
stack 234:    918 106 66 398 
stack 235:    976 663 21 596 
stack 236:    948 172 697 644 
stack 237:    993 863 706 693 
stack 238:    334 527 808 529 
stack 239:    278 645 942 526 
stack 240:    903 358 579 335 
stack 241:    720 402 807 513 
stack 242:    269 547 707 674 
stack 243:    734 277 224 900 
stack 244:    603 361 35 294 
stack 245:    655 283 830 925 
stack 246:    509 901 160 680 
stack 247:    763 370 950 910 
stack 248:    519 996 409 907 
stack 249:    874 
stack 250:    485 344 630 
stack 251:    
stack 252:    
stack 253:    
stack 254:    
stack 255:    
stack 256:    
stack 257:    
stack 258:    
stack 259:    
stack 260:    
stack 261:    
stack 262:    
stack 263:    
stack 264:    
stack 265:    
stack 266:    
stack 267:    
stack 268:    
stack 269:    
stack 270:    
stack 271:    
stack 272:    
stack 273:    
stack 274:    
stack 275:    
stack 276:    
stack 277:    
stack 278:    
stack 279:    
stack 280:    
stack 281:    
stack 282:    
stack 283:    
stack 284:    
stack 285:    
stack 286:    
stack 287:    
stack 288:    
stack 289:    
stack 290:    
stack 291:    
stack 292:    
stack 293:    
stack 294:    
stack 295:    
stack 296:    
stack 297:    
stack 298:    
stack 299:    
