lower bound for relaxed s_ij: 1006855.9

#####################################################

solved with: SP.constructive_heuristics.GeneralHeuristic
time limit: 3600.0 s
time to solve: 0,00 s
objective value: 1205199.29

stacks (top to bottom):
stack 0:    573 390 676 775 
stack 83:    73 171 770 269 
stack 84:    519 612 414 735 
stack 85:    616 9 505 698 
stack 86:    229 790 900 335 
stack 87:    707 857 426 444 
stack 88:    552 376 424 631 
stack 89:    83 953 351 605 
stack 90:    20 577 995 675 
stack 91:    112 854 820 247 
stack 92:    593 52 648 763 
stack 93:    705 258 312 760 
stack 94:    329 204 48 799 
stack 95:    59 132 660 937 
stack 96:    449 163 976 373 
stack 97:    938 257 97 418 
stack 98:    470 601 495 359 
stack 99:    71 43 47 740 
stack 100:    348 338 664 96 
stack 101:    950 699 167 716 
stack 102:    645 433 115 285 
stack 103:    604 310 37 403 
stack 104:    170 864 609 262 
stack 105:    18 226 726 650 
stack 106:    291 613 286 369 
stack 107:    135 850 328 880 
stack 108:    131 764 235 739 
stack 109:    911 137 912 817 
stack 110:    409 722 389 238 
stack 111:    116 386 441 23 
stack 112:    574 162 164 598 
stack 113:    522 712 210 284 
stack 114:    556 889 651 321 
stack 115:    119 324 51 322 
stack 116:    964 960 695 60 
stack 117:    223 836 771 460 
stack 118:    375 118 589 888 
stack 119:    190 451 772 990 
stack 120:    85 562 209 988 
stack 121:    662 881 46 491 
stack 122:    31 160 816 396 
stack 123:    549 186 367 261 
stack 124:    563 738 818 303 
stack 125:    6 123 49 774 
stack 126:    461 304 234 599 
stack 127:    473 456 810 984 
stack 128:    975 869 361 872 
stack 129:    948 233 807 540 
stack 130:    33 244 614 910 
stack 131:    481 292 876 225 
stack 132:    327 438 243 542 
stack 133:    476 955 791 578 
stack 134:    532 935 517 697 
stack 135:    28 11 305 253 
stack 136:    956 819 90 55 
stack 137:    295 471 776 615 
stack 138:    212 439 665 677 
stack 139:    360 58 300 400 
stack 140:    76 183 917 429 
stack 141:    628 282 667 147 
stack 142:    336 811 986 755 
stack 143:    14 362 528 266 
stack 144:    812 177 590 796 
stack 145:    861 188 823 890 
stack 146:    104 805 494 370 
stack 147:    95 530 211 670 
stack 148:    156 265 674 624 
stack 149:    856 961 326 273 
stack 150:    140 867 508 192 
stack 151:    224 509 249 923 
stack 152:    733 317 580 339 
stack 153:    899 687 548 942 
stack 154:    564 634 270 545 
stack 155:    527 759 63 421 
stack 156:    57 485 443 957 
stack 157:    602 581 39 680 
stack 158:    717 557 904 701 
stack 159:    26 503 5 346 
stack 160:    773 951 862 919 
stack 161:    133 394 371 673 
stack 162:    341 337 579 472 
stack 163:    559 152 10 227 
stack 164:    627 825 87 13 
stack 165:    214 237 539 629 
stack 166:    909 715 786 242 
stack 167:    274 512 298 833 
stack 168:    902 493 158 236 
stack 169:    56 617 541 671 
stack 170:    307 730 839 686 
stack 171:    8 635 383 287 
stack 172:    987 883 846 821 
stack 173:    406 353 731 931 
stack 174:    765 323 571 554 
stack 175:    703 802 797 622 
stack 176:    220 779 852 945 
stack 177:    502 840 962 480 
stack 178:    467 146 290 36 
stack 179:    879 792 757 313 
stack 180:    194 500 758 136 
stack 181:    865 734 568 202 
stack 182:    154 849 678 873 
stack 183:    427 913 841 991 
stack 184:    696 102 213 977 
stack 185:    374 710 139 626 
stack 186:    445 784 169 499 
stack 187:    50 924 232 830 
stack 188:    894 708 637 583 
stack 189:    893 694 206 434 
stack 190:    397 490 788 723 
stack 191:    331 7 99 767 
stack 192:    795 159 189 692 
stack 193:    330 267 842 407 
stack 194:    138 543 179 980 
stack 195:    954 891 72 398 
stack 196:    649 187 101 12 
stack 197:    619 392 800 40 
stack 198:    379 576 524 77 
stack 199:    690 161 402 993 
stack 200:    521 725 659 294 
stack 201:    468 514 848 91 
stack 202:    832 413 570 669 
stack 203:    752 603 372 553 
stack 204:    455 35 134 973 
stack 205:    454 272 358 457 
stack 206:    741 475 21 155 
stack 207:    446 597 16 566 
stack 208:    377 834 672 168 
stack 209:    342 308 892 488 
stack 210:    193 217 15 908 
stack 211:    606 478 992 82 
stack 212:    178 523 380 365 
stack 213:    762 420 895 663 
stack 214:    981 306 742 19 
stack 215:    181 463 387 684 
stack 216:    150 525 122 620 
stack 217:    575 561 176 437 
stack 218:    250 711 222 633 
stack 219:    941 81 709 231 
stack 220:    533 727 453 982 
stack 221:    507 555 84 0 
stack 222:    646 572 117 315 
stack 223:    855 22 94 301 
stack 224:    504 260 965 809 
stack 225:    45 714 838 66 
stack 226:    963 297 88 277 
stack 227:    969 256 569 255 
stack 228:    44 592 858 74 
stack 229:    248 340 967 594 
stack 230:    661 32 968 130 
stack 231:    120 743 947 501 
stack 232:    191 196 728 75 
stack 233:    835 422 271 679 
stack 234:    782 724 656 623 
stack 235:    691 1 230 515 
stack 236:    959 534 279 887 
stack 237:    356 241 141 666 
stack 238:    428 778 17 693 
stack 239:    866 79 934 595 
stack 240:    148 483 636 814 
stack 241:    943 789 974 781 
stack 242:    293 142 630 668 
stack 243:    750 927 808 979 
stack 244:    747 288 702 417 
stack 245:    325 492 401 458 
stack 246:    607 906 996 2 
stack 247:    289 469 42 
stack 248:    878 
stack 249:    219 918 381 347 
stack 250:    719 216 344 
stack 251:    683 
stack 252:    
stack 253:    
stack 254:    
stack 255:    
stack 256:    
stack 257:    
stack 258:    
stack 259:    
stack 260:    
stack 261:    
stack 262:    
stack 263:    
stack 264:    
stack 265:    
stack 266:    
stack 267:    
stack 268:    
stack 269:    
stack 270:    
stack 271:    
stack 272:    
stack 273:    
stack 274:    
stack 275:    
stack 276:    
stack 277:    
stack 278:    
stack 279:    
stack 280:    
stack 281:    
stack 282:    
stack 283:    
stack 284:    
stack 285:    
stack 286:    
stack 287:    
stack 288:    
stack 289:    
stack 290:    
stack 291:    
stack 292:    
stack 293:    
stack 294:    
stack 295:    
stack 296:    
stack 297:    
stack 298:    
stack 299:    
