lower bound for relaxed s_ij: 1006892.42

#####################################################

solved with: SP.constructive_heuristics.GeneralHeuristic
time limit: 3600.0 s
time to solve: 0,02 s
objective value: 1202272.36

stacks (top to bottom):
stack 0:    932 525 23 744 
stack 175:    418 146 962 650 
stack 176:    225 559 366 30 
stack 177:    917 36 159 448 
stack 178:    875 873 840 338 
stack 179:    487 980 694 368 
stack 180:    220 464 989 263 
stack 181:    982 550 699 407 
stack 182:    915 736 869 145 
stack 183:    125 196 431 643 
stack 184:    963 96 319 622 
stack 185:    718 751 356 877 
stack 186:    28 396 903 745 
stack 187:    670 374 104 710 
stack 188:    346 637 245 749 
stack 189:    838 551 660 662 
stack 190:    727 41 268 564 
stack 191:    59 542 322 283 
stack 192:    67 61 940 265 
stack 193:    69 0 480 912 
stack 194:    515 557 884 333 
stack 195:    923 12 552 675 
stack 196:    746 443 959 654 
stack 197:    681 701 990 234 
stack 198:    918 942 367 476 
stack 199:    661 347 450 296 
stack 200:    46 974 604 42 
stack 201:    320 413 593 933 
stack 202:    655 221 513 95 
stack 203:    628 920 895 902 
stack 204:    531 854 150 171 
stack 205:    364 771 623 750 
stack 206:    563 382 652 508 
stack 207:    178 702 76 294 
stack 208:    40 714 632 773 
stack 209:    629 157 109 888 
stack 210:    331 474 683 626 
stack 211:    607 671 971 197 
stack 212:    636 693 742 539 
stack 213:    797 485 16 512 
stack 214:    342 907 399 669 
stack 215:    365 222 98 754 
stack 216:    303 511 478 631 
stack 217:    465 569 954 486 
stack 218:    574 90 997 183 
stack 219:    57 421 782 400 
stack 220:    848 919 899 946 
stack 221:    423 292 927 75 
stack 222:    214 226 862 277 
stack 223:    38 686 965 127 
stack 224:    735 47 509 2 
stack 225:    687 289 122 729 
stack 226:    737 102 288 301 
stack 227:    306 370 64 677 
stack 228:    580 420 167 836 
stack 229:    930 34 541 911 
stack 230:    741 528 562 228 
stack 231:    921 280 193 934 
stack 232:    468 101 335 91 
stack 233:    897 975 129 585 
stack 234:    793 996 874 809 
stack 235:    481 358 698 435 
stack 236:    724 658 857 375 
stack 237:    931 9 379 446 
stack 238:    503 154 271 387 
stack 239:    135 790 302 510 
stack 240:    941 796 967 24 
stack 241:    711 617 950 429 
stack 242:    410 491 554 935 
stack 243:    353 152 843 645 
stack 244:    188 527 160 394 
stack 245:    766 514 27 786 
stack 246:    1 597 
stack 247:    93 537 618 229 
stack 248:    777 546 304 10 
stack 249:    876 56 717 
stack 250:    281 
stack 251:    318 795 
stack 252:    
stack 253:    
stack 254:    
stack 255:    
stack 256:    
stack 257:    
stack 258:    
stack 259:    
stack 260:    
stack 261:    
stack 262:    
stack 263:    
stack 264:    
stack 265:    
stack 266:    
stack 267:    
stack 268:    
stack 269:    
stack 270:    
stack 271:    
stack 272:    
stack 273:    
stack 274:    
stack 275:    
stack 276:    
stack 277:    
stack 278:    
stack 279:    
stack 280:    
stack 281:    
stack 282:    
stack 283:    
stack 284:    
stack 285:    
stack 286:    
stack 287:    
stack 288:    
stack 289:    
stack 290:    
stack 291:    
stack 292:    
stack 293:    
stack 294:    
stack 295:    
stack 296:    
stack 297:    
stack 298:    
stack 299:    
