solved with: SP.post_optimization_methods.HillClimbing
time limit: 3600.0 s
time to solve: 445,13 s
objective value: 567471.82

stacks (top to bottom):
stack 0:    
stack 1:    0 376 
stack 92:    635 731 275 128 
stack 93:    148 686 204 241 
stack 94:    273 726 108 553 
stack 95:    695 531 709 471 
stack 96:    645 254 338 508 
stack 97:    310 233 498 240 
stack 98:    166 339 666 606 
stack 99:    596 368 320 171 
stack 100:    116 124 170 145 
stack 101:    198 104 648 164 
stack 102:    146 673 235 220 
stack 103:    315 179 110 662 
stack 104:    239 534 190 569 
stack 105:    681 300 210 548 
stack 106:    680 327 602 292 
stack 107:    200 345 331 274 
stack 108:    621 334 702 354 
stack 109:    142 611 363 570 
stack 110:    562 705 703 318 
stack 111:    196 561 294 223 
stack 112:    578 725 505 608 
stack 113:    375 
stack 114:    1 
stack 115:    2 
stack 116:    3 378 
stack 117:    
stack 118:    380 4 
stack 119:    381 6 
stack 120:    7 
stack 121:    383 
stack 122:    384 8 9 
stack 123:    10 385 
stack 124:    11 
stack 125:    12 
stack 126:    13 
stack 127:    14 
stack 128:    15 
stack 129:    16 391 
stack 130:    392 
stack 131:    18 
stack 132:    394 
stack 133:    
stack 134:    396 21 
stack 135:    397 22 
stack 136:    398 23 
stack 137:    399 
stack 138:    400 711 176 24 
stack 139:    404 607 401 26 
stack 140:    28 646 163 745 
stack 141:    405 403 418 50 
stack 142:    493 216 44 406 
stack 143:    41 337 441 199 
stack 144:    293 59 410 660 
stack 145:    678 429 420 696 
stack 146:    679 408 265 409 
stack 147:    721 732 700 48 
stack 148:    329 247 51 43 
stack 149:    415 447 65 513 
stack 150:    224 741 423 38 
stack 151:    42 674 434 425 
stack 152:    309 633 424 727 
stack 153:    559 636 71 547 
stack 154:    359 106 435 476 
stack 155:    287 189 60 242 
stack 156:    259 422 92 419 
stack 157:    134 69 302 444 
stack 158:    57 64 62 45 
stack 159:    742 54 432 237 
stack 160:    222 601 207 440 
stack 161:    520 82 507 169 
stack 162:    733 253 437 257 
stack 163:    667 442 540 644 
stack 164:    689 479 457 510 
stack 165:    78 245 203 325 
stack 166:    528 593 653 555 
stack 167:    477 93 579 248 
stack 168:    70 688 532 592 
stack 169:    149 465 554 478 
stack 170:    290 461 724 707 
stack 171:    352 738 516 455 
stack 172:    349 521 605 451 
stack 173:    76 622 109 122 
stack 174:    522 258 182 323 
stack 175:    656 268 348 460 
stack 176:    132 105 73 358 
stack 177:    481 454 590 685 
stack 178:    312 539 580 654 
stack 179:    665 84 374 637 
stack 180:    83 576 195 628 
stack 181:    620 252 586 193 
stack 182:    492 366 243 270 
stack 183:    488 279 281 671 
stack 184:    230 484 473 269 
stack 185:    557 529 357 581 
stack 186:    722 154 183 231 
stack 187:    470 308 205 474 
stack 188:    535 186 326 713 
stack 189:    332 584 630 690 
stack 190:    322 95 280 138 
stack 191:    150 250 213 496 
stack 192:    500 102 615 369 
stack 193:    533 191 506 174 
stack 194:    458 714 158 456 
stack 195:    710 178 509 226 
stack 196:    286 256 100 567 
stack 197:    121 107 734 716 
stack 198:    571 153 89 276 
stack 199:    316 499 573 568 
stack 200:    466 137 261 157 
stack 201:    181 525 623 717 
stack 202:    558 676 328 652 
stack 203:    485 277 631 551 
stack 204:    94 468 512 161 
stack 205:    246 114 514 511 
stack 206:    221 612 185 655 
stack 207:    565 482 515 351 
stack 208:    201 324 356 180 
stack 209:    472 177 297 144 
stack 210:    549 99 501 313 
stack 211:    167 364 168 595 
stack 212:    585 527 718 125 
stack 213:    563 111 519 202 
stack 214:    704 103 640 232 
stack 215:    483 503 486 367 
stack 216:    487 218 365 641 
stack 217:    692 236 668 625 
stack 218:    304 693 550 140 
stack 219:    517 123 215 669 
stack 220:    139 113 208 523 
stack 221:    582 212 118 627 
stack 222:    333 172 311 609 
stack 223:    260 687 572 743 
stack 224:    682 489 135 344 
stack 225:    650 537 657 136 
